id,title,venue_id,date,start_time,end_time,kind,tickets,age,description,url,photo,ticketURL
dgsvln,DGS VLN,midwaysaloon,10/4/2026,7:00:00 PM,,music,General Admission,all ages,"Performing on a five stringed instrument, DGS (pronouns: they/them/theirs) has both violin and viola at their fingertips, and the addition of live effects expands their sound palette to become a one-person orchestra. With a tap on the body of the instrument, the violin transforms into a kick drum. A synth pedal shifts the octaves down into bass territory, while pizzicato in their hands is performed like a guitar or mandolin. Ambient reverbs create synth textures uniquely voiced by the instrument’s timbre, and all of these sounds are created and captured live with a looper to create their music while stitching in soaring melodies over top. Their music has been described as ""cinematic pop"", ""if Hans Zimmer wrote for Top 40 radio"", and ""organized chaos in musical form"". 

DGS has a way of speaking through their music that captivates any and all who stop to listen. ",dgsviolin.com,,
bencook-feltz,Ben Cook-Feltz,midwaysaloon,10/4/2026,8:00:00 PM,,music,General Admission,all ages,"Described by Iowa Public Radio as ""Paul Simon singing songs about broken hearts and pants,"" Ben Cook-Feltz is a singer, songwriter, keyboardist and occasional drummer. Combining observational, subtly quirky lyrics with melodies that hearken back to the classic sounds of the 60′s and 70′s, he has been entertaining and confusing audiences throughout the Midwest (but mostly Minnesota) as a dynamic performer, whether playing solo, with his crackerjack band, or supporting some of the finest regional talent (Mother Banjo, Haley E Rydell, Jaspar Lepak). His most recent record, Cook-Feltz Sings Son of Schmilsson, was released in August 2025 and was hailed as “expertise and precision at its finest; art with a limitless sense of fun” (Adventures in Americana). When not indulging in his rockstar delusions, Cook-Feltz is a devoted father, cycling enthusiast and lifelong Godzilla fan.",https://bencookfeltz.com,,
ditchpigeon,ditch pigeon ,midwaysaloon,10/4/2026,9:00:00 PM,,music,General Admission,21+,minneapolis alternative band led by local hayley anne ,https://ditchpigeon.bandcamp.com/,,
artuduo,Artu Duo,sundinmusichall,10/2/2026,6:00:00 PM,,music,General Admission,all ages,"Now in their 16th year as Artu Duo, pianist Garret Ross and cellist Ruth Marshall are based in Minneapolis and Saint Paul, MN, and enjoy concertizing and teaching together both on tour and at home. 
After forming in 2011, Artu Duo completed a residency course on the Beethoven Sonatas and Variations for Cello and Piano at the Banff Centre in Canada. In 2012, Artu Duo traveled to the Aldeburgh Festival in England, where they completed a residency course on the chamber music of Brahms and Schumann. These immersive experiences sparked a deep love of the music of Beethoven, Brahms and Schumann in Artu Duo, which has been the foundational repertoire for them ever since- not only as a duo, but as a piano trio, quartet, and quintet, when joined by colleagues. From that foundation, Artu Duo has explored and championed an incredibly broad repertoire, including canonic works, contemporary and rarely-heard works, and particularly music written by women, people of color, and living composers.  
Artu Duo has toured extensively in the United States, playing concerts in Indiana, Illinois, Wisconsin, Iowa, Oregon, Montana, Washington, New York, California, Minnesota, and Louisiana. In both 2013 and 2016, Artu Duo played on the Dame Myra Hess Memorial Concert Series in Chicago, which was broadcast live on WFMT. And in 2016, they gave their debut at Carnegie Hall, playing a complete program in the Weill Recital Hall. They have performed the Beethoven Triple Concerto as soloists with the Winona Symphony Orchestra (2021) and the Wartburg Community Symphony (2022). 
Mr. Ross and Ms. Marshall are both committed teachers, and have enjoyed giving masterclasses and performing outreach concerts while on tour. Artu Duo community and educational performances have been presented by the Illinois Symphony Orchestra, the Saint Paul Conservatory, the Bozeman Symphony Orchestra, the Mineral Point Chamber Music Festival, Minnesota Public Radio, and through the Britt Festival Education and Engagement resident artists program. Additionally, Artu Duo has given collegiate-level masterclasses at the Apollo Music Festival, the University of Louisiana, the State University of New York at New Paltz, Indiana State University, and Humboldt State University. https://www.artuduomusic.com/


",https://www.artuduomusic.com/,,
debbiebriggs,Debbie Briggs,sundinmusichall,10/2/2026,7:00:00 PM,,music,General Admission,all ages,,,,
sonoglyphcollective,Sonoglyph Collective,sundinmusichall,10/2/2026,8:00:00 PM,,music,General Admission,all ages,,https://sonoglyphcollective.com/,,
sawtoothwitch,Sawtooth Witch,turfclub,10/3/2026,6:30:00 PM,,music,General Admission,21+,"A soulful blend of delta blues, cosmic country, and a little bit of house music.
​
Sawtooth Witch is a genre bending band that has performed with Joan Baez, Tom Morello, Maggie Rogers, Cedric Burnside, Charlie Parr, Alan Sparhawk (of Low), Davy Knowles, Rhys Chatham, John McCutcheon, Bob Log III, Arrested Development and many more. Their debut album ""The Chariot"" was recorded by Holly Hansen at Salon Sonics in Minneapolis and mixed by Nat Harvie and in 2025 Sawtooth Witch's lead single ""The Hustle"" was considered Best new Music by MSP Magazine, RACKET, and 89.3 The Current ",www.sawtoothwitch.com,,
ryantraster,Ryan Traster,turfclub,10/3/2026,7:30:00 PM,,music,General Admission,21+,"Ryan Traster is a Twin Cities based Americana artist and songwriter. With 20+ film/TV syncs and a career spanning two decades, his new EP Lifers (produced by Kevin Bowe) marks a return to big-hook Heartland rock and gritty, Kristofferson-style storytelling. A veteran collaborator (Chris Walla, The Jayhawks) and a ""lifer"" in the truest sense, Traster blends a low, twangy vocal with the melodic sensibilities of the great American songbook.",Ryantrasterandthelowlights.com,,
keepforcheap,Keep For Cheap,turfclub,10/3/2026,8:30:00 PM,,music,General Admission,21+,,https://www.keepforcheap.com/,,
pullstring,Pullstring,turfclub,10/3/2026,9:30:00 PM,,music,General Admission,21+,"Midwest Britpop, Alt-Rock, Pop-Punk in denial… you get the idea. Hailing from Minneapolis, Pullstring’s nostalgic brand of alt-rock channels the energy of the ’90s and early 2000s. Paying homage to influences like Green Day and The Replacements, the band delivers a high-energy live show anywhere there’s a PA and a crowd willing to listen.

Underneath the driving guitars and infectious melodies, Pullstring explores the tension and tenderness of being a young adult in the 2020s. Their lyrics confront loneliness, shifting identity, and the early sparks of relationships with honesty and relatability. Yet even in their most vulnerable moments, the band threads in a sense of humor and lightness that keeps their sound warm and inviting.

With 100+ shows under their belt, Pullstring is no stranger to life on the road. They’ve taken their high-energy set to venues including 7th Street Entry (Minneapolis, MN), the Maintenance Shop (Ames, IA), and Shank Hall (Milwaukee, WI), and have appeared on festival lineups such as Big Turn Music Fest, KURE Fest, Rochester Thaw, and Taste of MN. Along the way, they’ve shared the stage with touring acts like ALEXSUCKS, George Clanton, The Melismatics, and We Are Scientists.

What will Pullstring do next?",https://www.pullstringband.com/epk,,
danrumsey,Dan Rumsey,vigguitars,10/3/2026,3:30:00 PM,,music,General Admission (limited capacity),all ages,"St. Paul native, Dan Rumsey is a soulful & bluesy songwriter, vocalist and multi-instrumentalist. He writes about the challenges, joys, heartaches and persistence of the human spirit. ",https://danrumseymusic.com/,,
shuge,shugE,vigguitars,10/3/2026,4:30:00 PM,,music,General Admission (limited capacity),all ages,shugE cuts his heart out & leaves it on stages,www.shugemusic.com,,
desdamona,Desdamona,urbanlights,10/3/2026,3:30:00 PM,,music,General Admission,all ages,,,,
nur-d,Nur-D,urbanlights,10/3/2026,6:45:00 PM,,music,General Admission,all ages,,,,
writersgotothemovies,Writers Go to the Movies,andersoncenter,10/3/2026,6:00:00 PM,,literary,General Admission,all ages,"On Saturday, October 3, join award-winning Hamline alum, writer, and journalist Will McGrath and author, humorist, and host of the Heavyweight podcast, Jonathan Goldstein, for a screening of Rushmore followed by a discussion. Free movie treats for all movie-goers!  
Doors open at 5:15 pm; movie at 6 pm",,,
leadersarereaders,Leaders are Readers,jimmyleereccenter,10/3/2026,11:00:00 AM,1:00:00 PM,literary,General Admission,all ages,"Bring the family and join us for our Leaders are Readers event which inspires young readers with author read-alouds and book giveaways.

The free event takes place at JK Movement/Jimmie Lee Recreation Center from 11 am - 1 pm  on the First Saturday of each month.

Local Black authors will be reading their children's books and available for book signings and pictures afterward. It's a wonderful opportunity to inspire reading and a love for books.

We hope you'll bring the family and join us for this special event. ",https://www.ppgjli.org/leaders-are-readers-event,,
thehoundsoffinn,The Hounds of Finn,celticjunctionartscenter,10/2/2026,7:00:00 PM,,music,Paid Ticket Required,all ages,,https://celticjunction.org/events/an-evening-with-the-hounds-of-finn/,,https://celticjunction.org/events/an-evening-with-the-hounds-of-finn/
soultrouvère+ukrainianvillageband:abenefitforunidosmn,Soul Trouvère + Ukrainian Village Band: A benefit for Unidos MN,celticjunctionartscenter,10/3/2026,7:00:00 PM,,music,Paid Ticket Required,all ages,,https://celticjunction.org/events/soul-trouvere/,,https://celticjunction.org/events/soul-trouvere/
mmafsaturdaymarket,MMAF Saturday Market,hamlinepark,10/3/2026,12:00:00 PM,5:00:00 PM,vendor,General Admission,all ages,,,,
mmafsundaymarket,MMAF Sunday Market,hamlinepark,10/4/2026,11:00:00 AM,4:00:00 PM,vendor,General Admission,all ages,,,,
theeclectics,The Eclectics,ginkgocoffeehouse,10/4/2026,7:30:00 PM,,music,Paid Ticket Required,all ages,,https://ginkgocoffee.com/event/the-eclectics-and-triple-fiddle/,,https://www.chownow.com/order/30815/locations/45570?menu_item_id=30704387_32640111
triplefiddle,Triple Fiddle,ginkgocoffeehouse,10/4/2026,8:30:00 PM,,music,Paid Ticket Required,all ages,,https://ginkgocoffee.com/event/the-eclectics-and-triple-fiddle/,,https://www.chownow.com/order/30815/locations/45570?menu_item_id=30704387_32640111
26bats!,26 BATS!,blackhartofsaintpaul,10/3/2026,7:00:00 PM,,music,General Admission,all ages,"Circus pop band from Minneapolis. Fronted by the transgender nonbinary legend, Babo aka Bailey 26 Cogan and accompanied by their gentle giant bestie, Karl Remus on guitar, Daniel ""Chavo"" Chavez on trumpet, Jack Stanek on Bass, and Tarek Abdelqader on drums. This band is electrifying live with nasty grooves & riffs, catchy melodies, and portal opening lyricism. Coined 'the Genre Rebel' by Growler Mag, they wrote ""26 BATS! has successfully garnered a following comprised of all kinds of music lovers. Being unmoored to any one genre puts the group in a unique spot, allowing them to share bills with a variety of acts: from Afrobeat legend Femi Kuti, Black Pumas, and Kirin J Callinan, to the silky, beat-laden Dua Saleh.""",https://www.blackhartstp.com/calendar/2026/10/2/patio-midway-music-amp-arts-fest-drag-amp-music,,
drartikatyner,Dr Artika Tyner,,10/3/2026,4:00:00 PM,5:30:00 PM,literary,General Admission,all ages,"Dr. Artika Tyner is committed to creating a world of inclusive leaders who will meet the pressing needs of today and work towards a better future where racial justice and economic justice reign supreme.  As a motivational speaker, author and educator, Dr. Tyner helps people of all ages connect with their gifts and develop tangible tools for bringing forth sustainable, durable change in the family, workplace, community or school.  By building and leveraging the tools in The Inclusive Leader she has inspired thousands of people to lead with their own gifts and plant a seed of social change.

Dr. Tyner’s work is grounded in extensive experience as a law and leadership professor, lawyer, social change agent, researcher and nonprofit founder and leader.  She is well-known as a thought leader, author and designer of high-profile programs to drive organizational DEI initiatives and create inclusive leaders.  Her impact spans Fortune 500 companies, start up tech companies, healthcare providers, government services and agencies, higher education institutions and grassroots organizations.  

Dr. Tyner is deftly able to ask the big questions, strategically innovate real solutions and then lead the way. She intentionally invests her time and energy in inspiring change and welcomes opportunities to present, collaborate and innovate with key stakeholders seeking to impact social change and do what no one has done before.
",https://www.artikatyner.com/,,
debraj.stone,Debra J. Stone,,10/3/2026,4:00:00 PM,5:30:00 PM,literary,General Admission,all ages,"Debra J Stone is a Jerome Hill Arts Fellow in Literature 2023-25, a recipient of several Minnesota State Arts Board grants, and The Loft Mirrors and Windows Fellow 2023 for writing books for BIPOC children and young adults. Her debut novel, The House on Rondo, was a finalist for the Minnesota Book Award in the Middle Grade Fiction category. Her novel was also a finalist in the Children’s category for the Midwest Independent Publishers Association Midwest Book Awards. The House on Rondo is published by the University of Minnesota Press. Debra resides in Minneapolis with her husband and dog Ruby, a rambunctious Red Heeler Australian Cattle Dog. You can find more information about Debra and her writing at debrajeannestone.com and on Instagram @debra2036.",https://www.debrajeannestone.com/,,
thepoetrybus,The Poetry Bus,hamlinepark,10/4/2026,1:00:00 PM,3:00:00 PM,literary,General Admission,all ages,,https://www.instagram.com/poetrybusmn/,,
rondadesambabrasil,Ronda de Samba Brasil,blackhartofsaintpaul,10/3/2026,5:00:00 PM,,music,General Admission,all ages,"We are a Brazilian-jazz band that brings the spirit of the Brazilian music and vibes to the audience with warmth, rhythm, and community atmosphere. ",https://www.instagram.com/brasil_with_s/,,
farfaraway,farfaraway,midwaysaloon,10/3/2026,10:00:00 PM,,music,General Admission,all ages,,,,
mosaiconastickgalleryopenhourssaturday,Mosaic on a Stick Gallery Open Hours Saturday,mosaiconastick,10/3/2026,10:00:00 AM,6:00:00 PM,art,General Admission,all ages,,https://www.mosaiconastick.com/,,
carymorinduo,Cary Morin Duo,ginkgocoffeehouse,10/3/2026,7:30:00 PM,,music,Paid Ticket Required,all ages,"Internationally acclaimed as a mesmerizing live performer, Cary Morin’s soul-stirring voice and jaw-dropping fingerstyle guitar playing have captivated audiences for decades.",https://ginkgocoffee.com/event/cary-morin-duo/,,https://www.chownow.com/order/30815/locations/45570?menu_item_id=30870805_32807671
ananyadancetheatreopenrehearsal,Ananya Dance Theatre Open Rehearsal,shawngrāminstitute,10/3/2026,1:30:00 PM,2:30:00 PM,performance,General Admission,all ages,"Join us at an Open Rehearsal with Ananya Dance Theatre for an in-process look at ADT's upcoming work! This year's work, Prem | Love: an Occupation, offers a hyperlocal focus on the Twin Cities' resistance to Operation Metro Surge. Drawing inspiration from Marcellus Khalifa Williams' poem: ""There is so much beauty and comfort in being in love and just being,” Prem's approach is grounded in the songs of Baul mystic-minstrels of Bengal which remind us that we cannot be content in interpersonal love if we do not live as Lovers of Life-Force. NOTE: We request that audience members please wear masks. A limited supply will be available on-site. Thank you!",https://ananya.app.neoncrm.com/nx/portal/neonevents/events?path=%2Fportal%2Fevents%2F58515,,
upliftingrondopanel,Uplifting Rondo Panel,blackgarnetbooks,10/2/2026,4:00:00 PM,5:30:00 PM,literary,General Admission,all ages,"Join us for a discusison on the past, present and future of the Rondo neighborhood by authors and advocates who see literature as a tool of cultural presevation and empowerment. Write On! Radio host Emma Collins moderates this discussion with Debra J. Stone, the author of The House on Rondo, Dr. Artika Tyner, the childrens author, publisher and the founder of Planting People Growing Justice Leadership Institute, and Hawona Sullivan Janzen, Poet, artist, arts administrator and Rondo advocate.","https://www.debrajeannestone.com
https://www.artikatyner.com/
https://www.instagram.com/hawonawrites/
https://writeonradio.substack.com/
",,
"aglimpseofthepast:memoirworkshopw/claudettewebster(limitedto12)
","A Glimpse of the Past: Memoir Workshop w/Claudette Webster (limited to 12)
",mosaiconastick,10/3/2026,11:00:00 AM,12:30:00 PM,literary,Free Ticket Required,all ages,"Glimpse of the Past: Writing Memoir with Claudette Webster

*Do you aspire to write a memoir or chapbook?

*Do you aspire to capture the stories in your life in words?

**Do you want to pass on the stories of your family and loved ones to the next generation?

If so, come join us for a 90-minute generative writing workshop with Claudette Webster, who will provide you with prompts and tools to begin the process of putting your stories on the page or tablet. 

Bring a few photos or keepsakes with you!

Sat Oct 3rd
11 am - 12:30 pm 
Mosaic on a Stick, 1564 Lafond Ave
Learn more about Mosaic on a Stick at mosaiconastick.com
",,,https://docs.google.com/forms/d/e/1FAIpQLSd4AuxzQd6bApxB0P7VRH3rPYYo172rvs9hwJXAHEP40dkZZA/viewform
careandrepair:areading,Care and Repair: A Reading,bewickcafe,10/3/2026,1:00:00 PM,2:30:00 PM,literary,General Admission,all ages,"As Rumi said, “The wound is the place where the light enters you.” Like it or not, pain, wounds, and breaking are a part of life. Wounds are also an unfortunate byproduct of our life on this planet, especially as the scars of human industry become visible everywhere. How do we care for ourselves, our communities, our loved ones, and our planet in the face of all that is broken? How can repair be an act of creation, building something new and more enduring? Readers Terri Matilla, Jennifer Hildebrandt, Suzanne Swanson, Jennifer Filardo and Heather Quinn will explore care and repair across bodies, communities, families, and landscapes, asking what it means to not only survive damage, but to find new hope within all that is broken. 
",,,
anafternoonsnackwithbeautyschooleditionspress,An Afternoon Snack with Beauty School Editions Press,mamasmarketanddeli,10/3/2026,4:00:00 PM,5:30:00 PM,literary,General Admission,all ages,"Pick up an afternoon snack at Mama’s Deli and join press founders Haley Lasché and Paula Cisewski for an afternoon of reading and writing. Opportunities for Q&A and lots of audience participation. 

Sat Oct 2nd
4pm - 5:30pm 
Mama’s Market & Deli
678 Snelling Ave North #100
",https://www.beautyschooleditions.com/,,
"actsofmagic:aworldbuildingworkshopw/codyklippenstein(limitedto12)
","Acts of Magic: A Worldbuilding Workshop w/Cody Klippenstein (limited to 12)
",creativewritinghouse,10/3/2026,10:00:00 AM,11:30:00 PM,literary,Free Ticket Required,all ages,"In this generative workshop, you are both artist and architect, bringing a new world to life from your imagination, imbuing it with a touch of magic, and populating it with unique characters. First, you'll create on a grand scale, inventing your own fantasy settings rich with detail through a series of prompts, creative exercises, and even optional extra twists and challenges designed to ward off writer’s block. Then, you'll create in miniature by placing a character inside your world and discovering what happens when they move through it. 
",https://www.codyklippenstein.com/,,https://docs.google.com/forms/d/e/1FAIpQLSd4AuxzQd6bApxB0P7VRH3rPYYo172rvs9hwJXAHEP40dkZZA/viewform
"editingwithcommunity,editingwithapurpose","Editing with Community, Editing with a Purpose",hamlinemethodistchurch,10/4/2026,2:00:00 PM,3:30:00 PM,literary,General Admission,all ages,"Join contributors and editors from St. Paul Almanac for a hybrid reading and panel. Recent contributors from the latest Almanac volume will read their work, followed by a discussion of the process of working with community editors. 
",https://saintpaulalmanac.org/,,
makinghome:areading,Making Home: A Reading,elsa'shouseofsleep,10/4/2026,4:00:00 PM,5:30:00 PM,literary,General Admission,all ages,"The idea for the Midway Music and Arts Fest came from a group of strangers gathering together around two powerful ideas: first, they were neighbors; and second, they believed that neighbors stand up for neighbors. Neighborhoods and communities are not neutral concepts. The complicated dance of immigration, settlement, displacement, and accommodation shapes the home that we make here together. Readings from writers Patti Kameya, Hawona Sullivan Jansen, Carrie Pomeroy, Alison Morse, and Savannah Dotson explore who gets to call a place home, whose stories are told, and how communities respond when their neighbors are threatened. ","https://pattikameya.com/
https://carywaterman.wordpress.com/
https://www.instagram.com/hawonawrites/
https://alisonmorse.net/",,
poetryplayhousew/saradovrewudali&athenakildegaard(limitedto10),Poetry Playhouse w/Sara Dovre Wudali & Athena Kildegaard (limited to 10),mosaiconastick,10/4/2026,11:00:00 AM,12:30:00 PM,literary,Free Ticket Required,all ages,"Come play with words and manual typewriters! In this generative workshop, you will respond to playful prompts and discover that you can write a poem. Then use manual typewriters to type up your finished work, taking home a beautiful, analog, finished product.",,,https://docs.google.com/forms/d/e/1FAIpQLSd4AuxzQd6bApxB0P7VRH3rPYYo172rvs9hwJXAHEP40dkZZA/viewform
danceshowcase,Dance Showcase,stpaulballet,10/3/2026,5:30:00 PM,6:15:00 PM,performance,General Admission,all ages,"A dance showcase featuring performances by St. Paul Ballet Studio Company, CAAM Chinese Dance Theater, and Young Dance Performing Company

Saint Paul Ballet's Studio Company, made up of the school's upper-level dancers, presents a 20-minute showcase of selections from its repertoire. Join us in the Saint Paul Ballet lobby to see the strength, artistry, and confidence of these dancers up close.

CAAM Chinese Dance Theater will present three dances: 

Impermanence 水墨丹青图 (Duet)
 Life is unpredictable, and people come in and out of our lives all the time. This long-sleeved dance reminds us to cherish every day with those we love.

Song of the Sword 剑之歌 (Solo)
The dance fuses the stylistic essence of classical Chinese dance with elements of swordsmanship, employing ever-shifting movements and nuanced emotional layers to portray a character's inner fortitude and spirit.

Lotus Shadows in the Breeze 风荷丽影 (Quartet）
Young dancers portray the tranquility and vitality of a summer lotus pond through soft, refreshing movements, unfolding a scene filled with innocence and natural beauty.

Since 1987, Young Dance has been transforming lives through movement by creating spaces where people discover themselves, connect with others, and express their artistic voices. 
Young Dance Performing Company, led by Artistic Director Anat Shinar, brings together dancers ages 7 to 18 of all abilities to explore their artistry through technique, choreography, improvisation, and creative collaboration. Throughout the year, dancers work with Young Dance faculty and professional guest artists to develop original work, deepen their skills, and engage with an annual artistic theme. The Company performs in a variety of community settings throughout the year, culminating in a season finale that celebrates the dancers’ creativity, growth, and unique voices. 
For the inaugural Midway Music and Arts Festival, Young Dance will share two original works: a new work created collaboratively by the dancers and a recent favorite from their repertoire by Guest Artist Brian J. Evans.
Learn more about Young Dance at www.youngdance.org",,,
creativemovementworkshopwithst.paulballet,Creative Movement Workshop with St. Paul Ballet,stpaulballet,10/3/2026,5:00:00 PM,5:30:00 PM,performance,General Admission,all ages,"Young movers ages 7 and under are invited to a creative dance workshop at Saint Paul Ballet. Dancers will explore music, movement, and imagination in a playful class led by a Saint Paul Ballet teaching artist.",,,
creativemovementintheparkwithtudance,Creative Movement in the Park with TU Dance,hamlinepark,10/3/2026,12:00:00 PM,1:15:00 PM,performance,General Admission,all ages,"In Creative Movement children (ages 5-7) will grow in physical awareness and build basic movement skills, balance, coordination, flexibility and strength. Students will expand their knowledge of musical instruments and the connection between dance and music, learn basic rhythmical movement phrases, and improvise and create dance ideas that communicate an experience or theme.",,,
"""soullinedancing""","""SOUL LINE DANCING""",hamlinepark,10/3/2026,3:30:00 PM,4:45:00 PM,performance,General Admission,all ages,"Step into the rhythm and experience the energy of the Soul Line Dancing Adult Workshop at TU Dance! This welcoming workshop invites adults of all experience levels to learn popular soul line dances while moving to classic and contemporary R&B, funk, and soul music. Whether you’re dancing for fitness, fun, or fellowship, you’ll build confidence, improve coordination, and connect with others in a vibrant, supportive environment. No partner or previous dance experience is needed; just bring your enthusiasm and get ready to move, groove, and celebrate the power of dance and community.",,,
hachijodaiko,Hachijo Daiko,hamlinemethodistchurch,10/2/2026,6:00:00 PM,7:00:00 PM,performance,General Admission,all ages,"We are excited to present Hachijo Daiko. Dating back to the Edo Period in Japan on Hachijo Island, this style of playing features playing both sides of the taiko drum, where one player keeps a beat, and the other is free to improvise and solo, like karaoke. This is an interactive performance where we will ask the participants to try Hachijo Daiko. The less experience, the better! ",,,
collidetheatricalpresentshollywood,Collide Theatrical Presents Hollywood,hamlinepark,10/4/2026,1:00:00 PM,4:00:00 PM,performance,General Admission,all ages,"Lauded as the “best kept theater secret” by Twin Cities Live, Collide Theatrical Dance Company is performing at the Luminary Arts Center in their 13th season. Come see theatre and dance COLLIDE in fast-paced, high energy performances that delight all ages! Filled with dazzling choreography and unforgettable moments, Hollywood pays tribute to the Golden Age of movie musicals by reimagining some of the most iconic dance numbers made famous by legends like Fred Astaire, Ginger Rogers, Gene Kelly, Cyd Charisse, and more. It's a joyful, high-energy celebration of the artistry, romance, and magic that made Hollywood musicals timeless.",,,
themercyofevents,The Mercy of Events,soeffkergallery,10/3/2026,10:00:00 AM,4:00:00 PM,art,General Admission,all ages,"Jade Hoyer
The Mercy of Events


Inspired by the artist's experience at Lake Michigan during the COVID-19 pandemic, ""The Mercy of Events"" serves as a large-scale portrait of one of the world's greatest bodies of fresh water. The exhibition features 90,000 watercolor circles meticulously assembled on graph paper using actual lake water for the paint to create a pointillist-style representation. By blending influences from Seurat’s pointillism and childhood standardized tests, the work explores the act of processing events through a playful subversion of visual order.

",soeffkergallery.com,,
themercyofevents,The Mercy of Events,soeffkergallery,10/2/2026,10:00:00 AM,4:00:00 PM,art,General Admission,all ages,"Jade Hoyer
The Mercy of Events


Inspired by the artist's experience at Lake Michigan during the COVID-19 pandemic, ""The Mercy of Events"" serves as a large-scale portrait of one of the world's greatest bodies of fresh water. The exhibition features 90,000 watercolor circles meticulously assembled on graph paper using actual lake water for the paint to create a pointillist-style representation. By blending influences from Seurat’s pointillism and childhood standardized tests, the work explores the act of processing events through a playful subversion of visual order.

",soeffkergallery.com,,
themercyofevents-closingreception,The Mercy of Events - Closing Reception,soeffkergallery,10/3/2026,5:00:00 PM,7:00:00 PM,art,General Admission,all ages,"Closing Reception and Artist Talk with Jade Hoyer
The Mercy of Events


Inspired by the artist's experience at Lake Michigan during the COVID-19 pandemic, ""The Mercy of Events"" serves as a large-scale portrait of one of the world's greatest bodies of fresh water. The exhibition features 90,000 watercolor circles meticulously assembled on graph paper using actual lake water for the paint to create a pointillist-style representation. By blending influences from Seurat’s pointillism and childhood standardized tests, the work explores the act of processing events through a playful subversion of visual order.
",soeffkergallery.com,,
deviantcropartexhibitfriday,Deviant Crop Art Exhibit Friday,cancanwonderland,10/2/2026,11:00:00 AM,12:00:00 AM,art,Paid Ticket Required,21+,"Art “Too Adult” For the State Fair

Can Can Wonderland is hosting the Deviant Crop Art Gallery from September 15th through October 11th for crop art that was too naughty to make it into the State Fair! Exhibit is Included with daily admission ($19).
",https://www.cancanwonderland.com/events/deviant-crop-art-show,,https://www.cancanwonderland.com/faq
deviantcropartexhibitsaturday,Deviant Crop Art Exhibit Saturday,cancanwonderland,10/3/2026,11:00:00 AM,12:00:00 AM,art,Paid Ticket Required,21+,"Art “Too Adult” For the State Fair

Can Can Wonderland is hosting the Deviant Crop Art Gallery from September 15th through October 11th for crop art that was too naughty to make it into the State Fair! Exhibit is Included with daily admission ($19).
",https://www.cancanwonderland.com/events/deviant-crop-art-show,,https://www.cancanwonderland.com/faq
